Taxon,Vernacular,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Quercus fernowii,Fernow's Oak,Quercus,1140-2004,1140-2004*5,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Stone, at Cedar Hollow Resort on Table Rock Lake, on edge of parking lot",M-94,17-32,41.8148300000,-88.0534780000,,
Quercus shumardii,Shumard's Oak,Quercus,1513-35,1513-35*5,,Missouri Botanical Garden,g,,,N-103,11-45,41.8151720000,-88.0501430000,,
Quercus macdanielii 'Clemons',Macdaniel's Oak,Quercus,127-2009,127-2009*2,,"Beaver Creek Nursery, Inc.",g,,,L-97,06-32,41.8145530000,-88.0523650000,,
Quercus mongolica,Mongolian Oak,Quercus,343-94,343-94*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yunmeng Shan (Dense Cloud Mountain), Wuling Shan Preserve",M-97,13-55,41.8148490000,-88.0522930000,,
Quercus macrocarpa 'Eckman',Eckman's Bur Oak,Quercus,597-2001,597-2001*1,,,g,,,J-99,01-60,41.8140120000,-88.0515040000,,
Quercus palustris,Pin Oak,Quercus,1186-2004,1186-2004*3,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Franklin, in Shaw Nature Reserve",L-94,45-06,41.8146300000,-88.0535640000,,
Quercus michauxii,Swamp Chestnut Oak,Quercus,645-48,645-48*1,United States of America,Dept. of Botany Butler University,w,Friesner,"United States of America, Indiana, Jackson",E-104,88-20,41.8129230000,-88.0497680000,,
Quercus hartwissiana,Hartwiss' Oak,Quercus,27-95,27-95*5,Turkey,Istanbul University Orman Fakultesi Silvikultur Ara Bilim Dah,W,?,"Turkey, Black Sea, Zonguldak, on the northwest Black Sea area near Yenice Cit dere",L-100,94-36,41.8148220000,-88.0512610000,,
Quercus stellata,Post Oak,Quercus,210-91,210-91*3,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",N-98,50-05,41.8152290000,-88.0521270000,,
Quercus montana,Chestnut Oak,Quercus,140-U,140-U*1,,columbia,u,,,D-104,10-30,41.8124350000,-88.0497100000,,
Quercus guadalupensis,Guadalupe Oak,Quercus,544-2006,544-2006*1,United States of America,,g,"Chmelir, G.","United States of America, Texas, Burleson, in a parkway in Caldwell",L-95,69-53,41.8147090000,-88.0530280000,,
Quercus shumardii,Shumard's Oak,Quercus,540-96,540-96*4,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",K-101,10-48,41.8143280000,-88.0508280000,,
Quercus jackiana,Jack's Oak,Quercus,471-42,471-42*1,,The Morton Arboretum,g,,,L-101,50-45,41.8147120000,-88.0508560000,,
Quercus petraea,Durmast Oak,Quercus,498-2005,498-2005*2,Germany,Starhill Forest Arboretum,z,?,"Germany, Hamburg, near Alten Eichen Hospital, Hamburg, Schelswig-Holstein",L-96,59-39,41.8146900000,-88.0527120000,,
Quercus deamii,Deam's Oak,Quercus,3-2008,3-2008*2,United States of America,The Morton Arboretum,z,"Deam, C.C.","United States of America, Indiana, Wells, near Bluffton",K-94,15-67,41.8142790000,-88.0533250000,,
Quercus ellipsoidalis,Hill's Oak,Quercus,204-92,204-92*3,United States of America,The Morton Arboretum-Staff,w,"Linden, P.J. van der","United States of America, Iowa, Winneshiek, in Bluffton Township",L-99,71-53,41.8147520000,-88.0515630000,,
Quercus rubra 'Schrefeldii',Schrefeld's Red Oak,Quercus,9-2008,9-2008*1,,The Morton Arboretum,g,,,I-98,40-53,41.8138350000,-88.0518890000,,
Quercus exacta,Shinglepin Oak,Quercus,501-36,501-36*1,,Arnold Arboretum of Harvard University,g,,,M-99,25-16,41.8148960000,-88.0517050000,,
Quercus marilandica,Blackjack Oak,Quercus,305-94,305-94*1,United States of America,International Oak Society Seed Exchange,w,"Green, T.","United States of America, Illinois, Henderson, near Oquaka",M-99,30-97,41.8149180000,-88.0514090000,,
Quercus mongolica,Mongolian Oak,Quercus,333-94,333-94*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,w,,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",N-97,03-88,41.8150980000,-88.0521830000,,
Quercus robur,English Oak,Quercus,180-93,180-93*7,Russia,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",w,"Linden, P.J. van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",N-98,59-59,41.8152590000,-88.0519300000,,
Quercus variabilis,Oriental Oak,Quercus,19-2003,19-2003*3,China (PRC),Chicago Botanic Garden (Botanic Garden of the Chicago Horticultural Society,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",K-95,10-99,41.8142770000,-88.0528400000,,
Quercus subfalcata,Southern Red-willow Hybrid Oak,Quercus,656-32,656-32*1,,Arnold Arboretum of Harvard University,g,,,L-99,96-13,41.8148170000,-88.0517120000,,
Quercus acutissima,Sawtooth Oak,Quercus,463-55,463-55*4,,"USDA-ARS, North Central Regional Plant Introduction Station Iowa State Univ",g,,,K-98,75-68,41.8144810000,-88.0518620000,,
Quercus aliena,Oriental White Oak,Quercus,340-2002,340-2002*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2002 Shanxi China,w,,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",L-98,69-80,41.8147390000,-88.0518300000,,
Quercus aliena,Oriental White Oak,Quercus,392-2011,392-2011*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,China (PRC),K-97,14-83,41.8143040000,-88.0521670000,,
Quercus aliena var. acutiserrata,Oriental White Oak,Quercus,2-2008,2-2008*1,,The Morton Arboretum,g,,,L-92,97-50,41.8147580000,-88.0541420000,,
Quercus macrocarpa,Bur Oak,Quercus,696-2006,696-2006*8,United States of America,,w,"Chmelir, G.","United States of America, Texas, Burleson",K-92,81-22,41.8144370000,-88.0542310000,,
Quercus mongolica,Mongolian Oak,Quercus,852-2005,852-2005*1,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, at Xian Jia Wan",J-95,98-21,41.8142370000,-88.0531250000,,
Quercus macrocarpa,Bur Oak,Quercus,696-2006,696-2006*5,United States of America,,w,"Chmelir, G.","United States of America, Texas, Burleson",N-96,98-97,41.8153510000,-88.0525290000,,
Quercus bicolor,Swamp White Oak,Quercus,214-91,214-91*2,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",N-101,43-51,41.8152420000,-88.0508580000,,
Quercus stellata,Post Oak,Quercus,212-91,212-91*1,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",L-101,94-06,41.8148290000,-88.0510050000,,
Quercus alba,White Oak,Quercus,134-U,134-U*66,,columbia,u,,,H-102,44-54,41.8136080000,-88.0504090000,"Clark,Clare (Clara Adeline Webster Sublette}",
Quercus polymorpha,Net-leaved White Oak,Quercus,222-2015,222-2015*1,United States of America,Taltree Arboretum & Gardens,z,,"United States of America, site not noted",L-104,94-44,41.8148610000,-88.0497680000,,
Quercus shumardii var. schneckii,Schneck's Oak,Quercus,576-40,576-40*1,United States of America,University of Kentucky,w,?,"United States of America, Kentucky, Union",M-93,84-62,41.8150070000,-88.0537420000,,
Quercus fernowii,Fernow's Oak,Quercus,1140-2004,1140-2004*4,United States of America,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,w,,"United States of America, Missouri, Stone, at Cedar Hollow Resort on Table Rock Lake, on edge of parking lot",M-93,31-89,41.8148640000,-88.0536370000,,
Quercus warei 'Nadler',Ware's Oak,Quercus,51-2009,51-2009*3,,"Robinson Nursery, Inc.",g,,,J-98,60-52,41.8141640000,-88.0519070000,,
Quercus bicolor,Swamp White Oak,Quercus,12-2004,12-2004*3,United States of America,Starhill Forest Arboretum,w,"Sternberg, G.","United States of America, Illinois, Menard",O-95,28-23,41.8154170000,-88.0531700000,,
Quercus marilandica,Blackjack Oak,Quercus,362-96,362-96*8,United States of America,The Morton Arboretum,w,"Sternberg, G.","United States of America, Missouri, Phelps",M-102,28-93,41.8149390000,-88.0503240000,,
Quercus warei 'Long',Long Ware's Oak,Quercus,171-2008,171-2008*1,,The Morton Arboretum: Plant Sale,g,,,J-100,56-47,41.8141710000,-88.0511920000,,
Quercus,Oak,Quercus,143-U,143-U*1,,columbia,u,,,L-99,19-90,41.8146130000,-88.0514210000,,
Quercus pubescens,Downy Oak,Quercus,27-2007,27-2007*1,,The Morton Arboretum,g,,,H-100,93-62,41.8137250000,-88.0511170000,,
Quercus mongolica,Mongolian Oak,Quercus,852-2005,852-2005*5,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Kangle, at Xian Jia Wan",K-95,10-60,41.8142740000,-88.0529830000,,
Quercus bebbiana,Bebb's Oak,Quercus,441-42,441-42*1,,Brooklyn Botanic Garden and Arboretum,g,,,L-99,01-72,41.8145610000,-88.0514850000,,
Quercus pagoda,Cherry-barked Oak,Quercus,700-46,700-46*1,United States of America,Deam Arboretum,w,"Deam, C.C.","United States of America, Indiana, Posey",N-103,91-44,41.8153910000,-88.0501570000,,
Quercus stellata,Post Oak,Quercus,212-91,212-91*2,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",M-101,25-04,41.8149140000,-88.0510160000,,
Quercus alba,White Oak,Quercus,134-U,134-U*61,,columbia,u,,,I-102,75-56,41.8139680000,-88.0504150000,"Minnec, John J.",
Quercus georgiana,Georgia Oak,Quercus,49-2002,49-2002*1,United States of America,Starhill Forest Arboretum,w,?,"United States of America, Georgia, DeKalb, on Stone Mountain",L-99,15-43,41.8145970000,-88.0515920000,,
Quercus prinoides,Dwarf Chinkapin Oak,Quercus,768-54,768-54*5,United States of America,,w,"Logue, E.C.","United States of America, Pennsylvania, from State College grounds",K-99,86-33,41.8145170000,-88.0516260000,,
Quercus ilicifolia,Bear Oak,Quercus,260-93,260-93*1,United States of America,Reeseville Ridge Nursery,w,?,"United States of America, West Virginia, in the southeastern part of Monongahela National Forest",J-100,43-64,41.8141370000,-88.0511280000,,
Quercus alba,White Oak,Quercus,134-U,134-U*5,,,U,,,E-104,40-30,41.8127910000,-88.0497250000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,258-2004,258-2004*3,Czech Republic,Arboretum Novy Dvur Slezske semske muzeum Opava Arboretum Novy Dvur of Sile,w,?,"Czech Republic, North Moravia, Prerov, in Jesenicke podhuri Mts. at Lhotka village, near Hranice na Morave",K-96,97-62,41.8145220000,-88.0526200000,,
Quercus laurifolia,Swamp Laurel Oak,Quercus,169-2015,169-2015*1,,Forestfarm at Pacifica,g,,,L-104,69-35,41.8147900000,-88.0497950000,,
Quercus bicolor,Swamp White Oak,Quercus,214-91,214-91*3,United States of America,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,w,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",N-102,40-29,41.8152410000,-88.0505720000,,
Quercus petraea subsp. iberica,Georgian Oak,Quercus,14-2011,14-2011*1,,,G,,,K-96,67-90,,,,
Quercus macrocarpa,Bur Oak,Quercus,138-U,138-U*7,,columbia,u,,,M-103,75-07,41.8150700000,-88.0502780000,,
Quercus macrocarpa,Bur Oak,Quercus,696-2006,696-2006*7,United States of America,,w,"Chmelir, G.","United States of America, Texas, Burleson",K-91,99-55,41.8144800000,-88.0544780000,,
Quercus macrocarpa,Bur Oak,Quercus,702-2006,702-2006*1,United States of America,International Oak Society Seed Exchange,w,?,"United States of America, Texas, Texas A & M Research Station",L-93,65-72,41.8146810000,-88.0536910000,,
