Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer mono f. subtrifidum (Makino) Rehder,Painted Maple,,Acer,183-76,183-76*1,,Maplewood Nursery,g,,,V-98,01-53,41.8172930000,-88.0520430000,,
Acer campestre L.,Hedge Maple,,Acer,257-81,257-81*3,Switzerland,Conservatoire et Jardin Botaniques de la Ville de Genève,w,?,"Switzerland, Valais, near Martigny",V-102,23-07,41.8173860000,-88.0507480000,,
Acer cappadocicum Gled.,Coliseum Maple,,Acer,1565-35,1565-35*1,,County of Monroe Department of Parks,g,,,U-98,52-73,41.8171600000,-88.0519630000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,313-2007,313-2007*1,United States of America,The Morton Arboretum,g,"Hall, L","United States of America, Illinois, Cook, Albert Jenner yard, Kenilworth",S-101,98-58,41.8167640000,-88.0509000000,,
Acer saccharinum 'Beebe Cutleaf Weeping',Beebe Cutleaf Weeping Silver Maple,,Acer,321-54,321-54*1,,Cole Nursery Co.,g,,,P-99,18-71,41.8157050000,-88.0515390000,,
Acer triflorum Komar.,Three-flowered Maple,,Acer,328-2000,328-2000*1,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Antu, on Changbai Shan near Erdao Baihe",R-100,47-98,41.8163450000,-88.0511020000,,
Acer barbatum Michx.,Florida Maple,,Acer,652-63,652-63*5,United States of America,,w,"Hardin, JW","United States of America, North Carolina, along Dixie Trail near Raleigh",BB-105,65-55,41.8191790000,-88.0495510000,,
Acer saccharum 'Bailsta',Sugar Maple,FALL FIESTA,Acer,62-2012,62-2012*2,,"Brotzman's Nursery, Inc.",g,,,X-102,88-43,41.8181160000,-88.0506480000,,
Acer saccharum Marshall,Sugar Maple,,Acer,474-74,474-74*1,United States of America,The Morton Arboretum,w,?,"United States of America, Illinois, DuPage, The Morton Arboretum, east woods of the Morton Arboretum, near Lisle",Y-106,80-65,41.8184070000,-88.0491130000,"Krick, Chris",
Acer rubrum L.,Red Maple,,Acer,598-57,598-57*3,,The Morton Arboretum,g,,,T-104,75-45,41.8170020000,-88.0498580000,,
Acer barbinerve Maxim. ex Miq.,Hairy-veined Maple,,Acer,258-2002,258-2002*2,China (PRC),U.S. National Arboretum Woody Landscape Plant Germplasm Repository,w,"Cui, T","China (PRC), Shaanxi, Mei(xian), at Taibaishan",W-99,66-79,41.8177570000,-88.0516010000,,
Acer turkestanicum Pax,Turkestan Maple,,Acer,191-99,191-99*2,,"Gradina Botanica Macea Universitatii de Vest ""Vasile Goldis"" din Arad Comun",g,,,T-99,91-42,41.8169990000,-88.0517030000,,
Acer oblongum Wall. ex DC.,Himalayan Maple,,Acer,331-2011,331-2011*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,G,,"China (PRC), Gansu, cultivated plants",V-101,57-90,41.8174770000,-88.0508140000,,
