Taxon,Vernacular,Trademark,BgLocation,Accession,PlantNumber,CountryName,DonorInstitute,ProvenanceType,PrincipalCollector,LocationSummary,GardenGrid,GardenSubGrid,BgLatitude,BgLongitude,CommemorationWho,CommemorationText
Acer nigrum F.Michx.,Black Maple,,Acer,528-63,528-63*4,United States of America,The Morton Arboretum-Staff,w,?,"United States of America, Illinois, Cook, Black Partridge Woods Forest Preserve near Lemont",S-101,05-85,41.8165120000,-88.0507900000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,1385-56,1385-56*1,,The Morton Arboretum,g,,,R-103,40-10,41.8163450000,-88.0503240000,,
Acer freemanii 'Jenner',Jenner Freeman's Maple,,Acer,8-2008,8-2008*1,,The Morton Arboretum Research Program,g,,,T-100,97-75,41.8170280000,-88.0512160000,,
Acer saccharum 'Coleman',Coleman Sugar Maple,,Acer,308-50,308-50*3,United States of America,The Morton Arboretum-Staff,g,"Nordine, RM","United States of America, Minnesota, from a columnar tree along Lynn Ave., Lake City",W-99,45-74,41.8176990000,-88.0516170000,Vernon McGonagle,
Acer mono Maxim.,Painted Maple,,Acer,837-58,837-58*1,,County of Monroe Department of Parks,g,,,W-100,80-59,41.8178030000,-88.0513100000,Edgar W. Zell,
Acer stachyophyllum subsp. betulifolium (Maxim.) DeJong,Birch-leaved Maple,,Acer,293-2011,293-2011*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",S-99,48-85,41.8166110000,-88.0515290000,,
Acer mandshuricum Maxim.,Manchurian Maple,,Acer,321-2000,321-2000*2,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Antu, near Red Stone Forestry on Changbai Shan",R-101,09-45,41.8162450000,-88.0509250000,,
Acer truncatum Bunge,Shantung Maple,,Acer,395-54,395-54*1,,Michigan State College,g,,,O-98,45-05,41.8154890000,-88.0521390000,,
Acer negundo var. violaceum Booth ex G.Kirchn.,Boxelder,,Acer,217-46,217-46*1,,Arnold Arboretum of Harvard University,g,,,P-98,90-00,41.8158870000,-88.0521750000,,
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",R-100,85-49,41.8164440000,-88.0512870000,,
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*2,,Kankakee Nursery Company,g,,,Y-105,85-05,41.8184060000,-88.0497000000,"Krick, Chris",
Acer cappadocicum Gled.,Coliseum Maple,,Acer,286-54,286-54*1,,Barres Botanical Garden,g,,,V-98,53-20,41.8174320000,-88.0521700000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,497-2008,497-2008*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji, near Da Fang Shan",T-99,12-81,41.8167860000,-88.0515510000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,880-2005,880-2005*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Zhou Qu Shen, in Bai Long Jiang Forest Station / Ge'er Gou",R-99,37-14,41.8163000000,-88.0517750000,,
Acer rubrum 'Columnare',Upright Red Maple,,Acer,389-43,389-43*1,,Kingsville Nurseries Inc.,g,,,R-99,71-74,41.8163990000,-88.0515590000,,
Acer rubrum 'Bowhall',Bowhall Red Maple,,Acer,248-61,248-61*2,,Cole Nursery Co.,g,,,T-103,65-95,41.8169700000,-88.0500400000,,
Acer cappadocicum 'Aureum',Golden Coliseum Maple,,Acer,316-66,316-66*1,,F. J. Grootendorst & Son,g,,,V-99,85-40,41.8175310000,-88.0517340000,,
Fagus grandifolia Ehrh.,American Beech,,Acer,61-72,61-72*5,,Linderman's Chesterton Nurseries,g,,,Z-104,16-37,41.8184850000,-88.0499530000,"Krick, Chris",
Acer triflorum Komar.,Three-flowered Maple,,Acer,328-2000,328-2000*2,China (PRC),The Morton Arboretum Research Program,w,,"China (PRC), Jilin, Antu, on Changbai Shan near Erdao Baihe",R-101,29-18,41.8162970000,-88.0510260000,,
Acer mono Maxim.,Painted Maple,,Acer,314-52,314-52*1,,County of Monroe Department of Parks,g,,,U-99,88-36,41.8172650000,-88.0517370000,,
Acer caudatum subsp. multiserratum A.E.Murray,Saw-toothed Maple,,Acer,289-2011,289-2011*4,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Shaanxi, Mei(xian), site not noted",R-100,85-49,41.8164440000,-88.0512870000,,
Acer barbatum Michx.,Florida Maple,,Acer,320-2007,320-2007*2,United States of America,The Morton Arboretum,z,?,"United States of America, Oklahoma, McCurtain",R-102,42-54,41.8163450000,-88.0505290000,,
Tilia americana var. americana,American Basswood,,Acer,333-72,333-72*5,,Kankakee Nursery Company,g,,,Z-106,10-80,41.8184910000,-88.0490620000,"Krick, Chris",
Hyacinthoides hispanica 'Excelsior',Tall Spanish Bluebells,,Acer,539-2001,539-2001*1,,various commercial sources,g,,,Z-100,19-67,41.8184590000,-88.0513090000,,
Acer freemanii A.E.Murray,Freeman's Maple,,Acer,1385-56,1385-56*2,,The Morton Arboretum,g,,,R-103,75-15,41.8164410000,-88.0503100000,,
Acer maximowiczii Pax,Maximowicz's Snakebark Maple,,Acer,320-2011,320-2011*2,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Gansu, Tianshui, Ma Song Tou",Q-100,38-90,41.8160460000,-88.0511170000,,
Acer pentapomicum J.L.Stewart ex Brandis,Five Rivers Maple,,Acer,560-2001,560-2001*1,U.S.S.R.,The Morton Arboretum,z,?,"U.S.S.R., Tajik, Hissar Mts. on both sides of Kandara Valley",S-100,71-64,41.8166820000,-88.0512410000,,
Acer rubrum L.,Red Maple,,Acer,599-57,599-57*1,,The Morton Arboretum,g,,,S-104,50-00,41.8166550000,-88.0500070000,,
Acer davidii Franch.,Father David's Maple,,Acer,496-2008,496-2008*6,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2008 Shaanxi Chin,w,,"China (PRC), Gansu, Maiji",S-98,75-72,41.8166750000,-88.0519450000,,
Acer davidii Franch.,Father David's Maple,,Acer,323-2011,323-2011*3,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,w,,"China (PRC), Gansu, Tianshui, Ma Song Tou",T-98,00-89,41.8167450000,-88.0518860000,,
Acer rufinerve Siebold & Zucc.,Red-veined Maple,,Acer,65-2000,65-2000*1,Japan,"Laboratory of Floriculture and Ornamental Horticulture, Chiba University",w,?,"Japan, Gunma, at Numata City north of Tokyo",T-99,57-30,41.8169050000,-88.0517430000,,
Acer yui W.P.Fang,Yu Maple,,Acer,905-2005,905-2005*12,China (PRC),North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,w,,"China (PRC), Gansu, Diebu",T-101,28-95,41.8168500000,-88.0507680000,,
